,,,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
RM02/0001,lag-1,test-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905,0,0,-0.01548,0,0.91779,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-2,0.02801,0,0,0,0,0,0,0,0,0,0,-0.00656,0,0,-0.01031,0,0,0,0,0.03539,0,0.00926,-0.06425,0.01406,0.92367,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-3,0.03487,0,0,0,0,0,0,0,0,0,0,-0.01802,0,0,0,0,0,0,0,0,0,0.01106,-0.05972,0,0.92256,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-4,0.03349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05859,0,0.91226,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-5,0.0497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88049,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-6,0,0,0.00498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9029,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-7,0.03229,0,0,0,0,0,0.02349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87092,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-8,0.05613,0,0.051,0,0,0.04887,0,0,0,0,0,0,0.06348,0,0,0,0,0,0,0,0,0,0,0,0.78567,0,0,0,0,0,0,0,0,0,0,-0.0001
RM02/0001,lag-1,test-9,0,0,0.289,0,0,0,0,0,-0.01822,0,0,0,0,0,0,0.00613,0,0.03959,0.03033,0,0,0.03412,0.00552,0,0.53669,0,0,0,0.14269,0,0,0,0,0,0,-0.01686
RM02/0001,lag-1,test-10,0,0,0.33958,0,0,0,0,-0.06536,-0.08164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06236,-0.0407,0.80379,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-1,,,,,0,0,0,0,0,0,0,0,0,0.00592,0,0.02767,0,0,0,0,0,0.03146,-0.19891,0.14775,,,0.83137,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-2,,,,,0.13103,0.0066,0.06109,0.0475,0.03787,0,0.05375,0,0,0,0,0.08527,-0.06076,0,-0.11952,0.09329,-0.10238,0.02527,-0.14671,0.25541,,,0.76805,0,0,0,0,-0.0088,0,-0.08754,-0.05114,0
RM02/0001,lag-3,test-3,,,,,0.08377,0,0,0,0,0,0,-0.05113,0,0,0,0,0,0,0,0,0,0,-0.14922,0,,,0.81023,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-4,,,,,0.09986,0,0,0,0,0,0,-0.00699,0,0,0,0,0,0,0,0,0,0,-0.1409,0,,,0.76793,0,0,0,0,0,0,0,0,-0.00596
RM02/0001,lag-3,test-5,,,,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06962,0,,,0.68021,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-6,,,,,0.08466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.75802,0,0,0,0,0,0,0,0,-0.00492
RM02/0001,lag-3,test-7,,,,,0.01879,0,0.13345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.65575,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-8,,,,,0.19815,0,0,0,0.06871,0,0,0,0.21759,0,0,0,0,0,0,0,0,0,0,0,,,0.50268,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-9,,,,,0.38914,0,0,0,0,0,0,0,0.03425,0,0,0,0,0.11455,0,0,0.00779,0,0.09266,0,,,0.196,0,0.15058,0,0,0,0,0,0,0
RM02/0001,lag-3,test-10,,,,,0.56473,0,0.09091,0,0,0,0,0,0,0,0,0,0,0.03159,0,0,0,0.07719,0,0,,,0.22454,0,0,0,0,0,0,0,0,0
RM02/0001,lag-6,test-1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-0.01347,0,,,,,,0.55182,0,0,0,0,0,0
RM02/0001,lag-6,test-2,,,,,,,,,,,0.52699,0.01346,0,-0.01469,0,0,0,0,-0.11583,0.02088,-0.23458,0.05945,-0.38969,0.46521,,,,,,0.71444,0,-0.05152,0,-0.14592,-0.08172,0
RM02/0001,lag-6,test-3,,,,,,,,,,,0.12233,-0.00679,0,-0.0525,0,-0.0128,0,0,0,0,0,0,-0.30869,0,,,,,,0.66645,0,0,0,0,0,0
RM02/0001,lag-6,test-4,,,,,,,,,,,0.568,-0.0585,0,-0.09627,0.07188,-0.03085,0,0,-0.03534,0.03626,0,0.11655,-0.55746,0.296,,,,,,1.01482,0,-0.37839,0,-0.2408,0,0
RM02/0001,lag-6,test-5,,,,,,,,,,,0.76533,-0.04737,0,-0.08691,0.0548,-0.04321,0,0,-0.0149,0.04986,0,0.10988,-0.63007,0.30074,,,,,,0.75839,0,-0.15099,0,-0.21348,-0.06052,0
RM02/0001,lag-6,test-6,,,,,,,,,,,0.19659,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.45096,0,0,0,0,0,0
RM02/0001,lag-6,test-7,,,,,,,,,,,0.25997,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.40484,0,0,0,0,0,0
RM02/0001,lag-6,test-8,,,,,,,,,,,0.30796,0,0.33714,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.20805,0,0,0,0,0,0
RM02/0001,lag-6,test-9,,,,,,,,,,,0,0,0.36104,0,0,0,0,0.09077,0,0,0.12595,0.00192,0.18339,0,,,,,,0.15504,0,0,0,0,0,0
RM02/0001,lag-6,test-10,,,,,,,,,,,0.22799,0,0.11489,0,0,0,0,0.03269,0,0,0,0,0.27374,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-1,test-1,0,0,0,0,0,0,0,0,0.09985,0,0.05768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15524,0.21189,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-2,0.05513,0,0,0,0,0,0,0,0.25861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1676,0.36509,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-3,0.03573,0,0,0,0,0,0,-0.04439,0.28839,0,0,0,0,0,0,0,0,0,0,0.10788,0,0,0,0,0.22982,0.40034,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-4,0,0,0,0,0,0,0,0,0.00639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28614,0.38326,0.04722,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24597,0.33737,0.04955,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25066,0.33438,0.02136,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-7,0.0592,0,0.23238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00562,0,0,0,0,0.28103,0.31581,0.0935,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-8,0.03041,0,0,0,0,0.01239,0.23264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32922,0.16697,0.07342,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-9,0.11636,0,0,0,0,0.10152,0.01456,0,0,0.01067,0,0,0.01864,0,0.03803,0,0,0,0,0,0,0,0,0,0.42344,0.21224,0.0105,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-10,0.13672,0,0,0,0.03371,0.026,0.08834,0,0,0,0,0,0.04609,0,0,0,0,0,0,0.00363,0,0,0,0,0.56242,0.1901,0,0,0,0,0,-0.04231,0,0,-0.04036,0
RM02/0002,lag-3,test-1,,,,,0,0,0,0,0,0,0.18809,0,0.05555,0,0,0,0,0,0,0,0,0,0,0,,,0.12504,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-2,,,,,0.00222,0,0,0,0.32632,0,0.03301,0,0.12727,0,0,0,0,0,0,0,0,0,0,0,,,0.25272,0,0,0,0,0,0,0,0,-0.00398
RM02/0002,lag-3,test-3,,,,,0,0,0,0,0.03191,0,0.09787,0,0.12622,0,0,0,0,0,0,0,0,0,0,0,,,0.26828,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-4,,,,,0,0,0,0,0,0,0.09418,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.43288,0.09242,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.34676,0.00145,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.39028,0.05204,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-7,,,,,0.35569,0,0,0,0,0,0,0,0,0,0,0,0,0.01092,0,0.02922,0,0,0,0,,,0.41609,0.10239,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-8,,,,,0.01353,0,0.27426,0,0.0404,0,0.09627,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.32729,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-9,,,,,0.01291,0,0,0,0.11213,0,0.275,0,0.06439,0,0,0,0,0,0,0,0,0,0,0,,,0.45729,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-10,,,,,0.20258,0,0.06261,0,0.09691,0.02166,0.12544,0,0.03377,0.05069,0,0.01439,0,0,0,0,0,0,0,0,,,0.65083,0,0,0,0,0,0,-0.28671,-0.02735,0
RM02/0002,lag-6,test-1,,,,,,,,,,,0.08928,0,0.09656,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-2,,,,,,,,,,,0.32954,0,0.13196,0,0.07946,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-3,,,,,,,,,,,0.07997,0,0.17142,0,0.05171,0,0.10456,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-8,,,,,,,,,,,0.35946,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-9,,,,,,,,,,,0.39887,0,0.12726,0,0.13773,0,0,0,0,0,0,0,0,0,,,,,,0.21114,0,0,0,0,0,0
RM02/0002,lag-6,test-10,,,,,,,,,,,0.53116,0,0.07726,0,0.22881,0,0,0,0,0.00542,0,0,0,0,,,,,,0,0,0,0,0,0,0