,,,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
RM02/0001,lag-1,test-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88029,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-2,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87743,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-3,0.02947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8546,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-4,0.00389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-5,0.02363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8544,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87349,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-7,0.00896,0,0,0,0,0,0.03098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85092,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-8,0.0082,0,0.06257,0,0,0.02085,0,0,0.03328,0,0,0,0.05297,0,0,0,0,0,0,0,0,0,0,0,0.74762,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-1,test-9,0,0,0.22183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02281,0.0792,0,0,0,0,0,0.55469,0,0,0,0.07056,0,0,0,0,0,0,0
RM02/0001,lag-1,test-10,0,0,0.25888,0,0.01066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66232,0,0,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.73392,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.72283,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-3,,,,,0.0457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02046,0,,,0.67361,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-4,,,,,0.04144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00502,0,,,0.66227,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-5,,,,,0.10835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.61192,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-6,,,,,0.01883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.68705,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-7,,,,,0,0,0.12552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.62714,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-8,,,,,0.08998,0,0,0,0.0976,0,0.05956,0,0.16169,0,0,0,0,0,0,0,0,0,0,0,,,0.42682,0,0,0,0,0,0,0,0,0
RM02/0001,lag-3,test-9,,,,,0.33065,0,0,0,0,0,0,0,0,0,0,0,0,0.05895,0.00469,0,0.08376,0,0.03626,0,,,0.25023,0,0.05613,0,0,0,0,0,0,0
RM02/0001,lag-3,test-10,,,,,0.46739,0,0.10332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02045,0.02368,0,,,0.18036,0,0,0,0,0,0,0,0,0
RM02/0001,lag-6,test-1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.20758,0,0,0,0,0,0
RM02/0001,lag-6,test-2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.19909,0,0,0,0,0,0
RM02/0001,lag-6,test-3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.12706,0,0,0,0,0,0
RM02/0001,lag-6,test-4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.11521,0,0,0,0,0,0
RM02/0001,lag-6,test-5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.11481,0,0,0,0,0,0
RM02/0001,lag-6,test-6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.13224,0,0,0,0,0,0
RM02/0001,lag-6,test-7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.07884,0,0,0,0,0,0
RM02/0001,lag-6,test-8,,,,,,,,,,,0,0,0.23487,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0001,lag-6,test-9,,,,,,,,,,,0,0,0.08606,0,0,0,0,0,0,0,0.24003,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0001,lag-6,test-10,,,,,,,,,,,0.06758,0,0.02623,0,0,0,0,0,0,0,0,0,0.11853,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-1,test-1,0,0,0,0,0,0,0,0,0.1014,0,0.05747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15596,0.21312,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-2,0.05439,0,0,0,0,0,0,0,0.25853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16732,0.36451,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-3,0,0,0,0,0,0,0,0,0.18143,0,0,0,0,0,0,0,0,0,0,0.00215,0,0,0,0,0.2326,0.384,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-4,0,0,0,0,0,0,0,0,0.00811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28676,0.38403,0.04813,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24659,0.33804,0.05018,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25143,0.3352,0.02213,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-7,0.04796,0,0.22324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28481,0.30592,0.0806,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-8,0.02754,0,0,0,0,0.01148,0.23414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33044,0.16577,0.07142,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-9,0.10092,0,0,0,0,0.09252,0.01395,0,0.00192,0.0067,0,0,0.02477,0,0.02668,0,0,0,0,0,0,0,0,0,0.45295,0.20058,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-1,test-10,0.09158,0,0.01228,0,0.03098,0,0.07985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70443,0,0,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-1,,,,,0,0,0,0,0,0,0.18929,0,0.05547,0,0,0,0,0,0,0,0,0,0,0,,,0.12621,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-2,,,,,0,0,0,0,0.26391,0,0.02354,0,0.09369,0,0,0,0,0,0,0,0,0,0,0,,,0.16394,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-3,,,,,0,0,0,0,0.01929,0,0.09771,0,0.12464,0,0,0,0,0,0,0,0,0,0,0,,,0.25504,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.37457,0.02779,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.34662,0.00132,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.35975,0.02153,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-7,,,,,0.16063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.31664,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-8,,,,,0,0,0.25157,0,0.04854,0,0.09701,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.2968,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-9,,,,,0,0,0,0,0.06369,0,0.22214,0,0.03442,0,0,0,0,0,0,0,0,0,0,0,,,0.37947,0,0,0,0,0,0,0,0,0
RM02/0002,lag-3,test-10,,,,,0.18291,0,0.10535,0,0.11059,0,0.04551,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.2532,0,0,0,0,0,0,0,0,0
RM02/0002,lag-6,test-1,,,,,,,,,,,0.08936,0,0.09663,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-2,,,,,,,,,,,0.18861,0,0.07432,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-3,,,,,,,,,,,0,0,0.14354,0,0.05271,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-8,,,,,,,,,,,0.35939,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-9,,,,,,,,,,,0.16738,0,0.12116,0,0.1783,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0
RM02/0002,lag-6,test-10,,,,,,,,,,,0.29296,0,0.10718,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0